ligne_num,direction,depart_vendredi,depart_samedi,depart_dimanche,horaires_jeudi,horaires_vendredi,horaires_samedi,horaires_dimanche
101,Neuchâtel - Marin,Université: https://maps.app.goo.gl/aZ3DqT21WDQonyh3A,Université: https://maps.app.goo.gl/aZ3DqT21WDQonyh3A,Jusqu’à 18h : Hôpital Pourtalès: https://maps.app.goo.gl/MSPNoJY9n7wycwnX8 Dès 18h : Université: https://maps.app.goo.gl/aZ3DqT21WDQonyh3A,"Ne circule plus dans la rue du Seyon dès 17h50
","Toutes les 10 min. de la 1ère course à minuit puis toutes les 20 min. jusqu’à 4h
",Toutes les 10 min. de 7h à minuit puis toutes les 20 min. jusqu’à 4h,De 11h à 13h29 toutes les 10 min. De13h30 à 19h20 toutes les 5 min. De 19h21 à 21h toutes les 10 min. Dès 21h01 toutes les 20 minutes. Dernier départ selon l’horaire habituel
101,Neuchâtel - Cormondrèche,Ecluse: https://maps.app.goo.gl/k1JkJrtUtShhpAab8,Ecluse : https://maps.app.goo.gl/k1JkJrtUtShhpAab8,Ecluse: https://maps.app.goo.gl/k1JkJrtUtShhpAab8,"Ne circule plus dans la rue du Seyon dès 17h50
","Toutes les 10 min. de la 1ère course à minuit puis toutes les 20 min. jusqu’à 4h
",Toutes les 10 min. de 7h à minuit puis toutes les 20 min. jusqu’à 4h,De 11h à 13h29 toutes les 10 min. De13h30 à 19h20 toutes les 5 min. De 19h21 à 21h toutes les 10 min. Dès 21h01 toutes les 20 minutes. Dernier départ selon l’horaire habituel
102,"Neuchâtel, Oriette - Serrières","Oriette, quai A. https://maps.app.goo.gl/vduj3rHhsqC7As4N6","Jusqu’à 18h40 : Oriette, quai A: https://maps.app.goo.gl/vduj3rHhsqC7As4N6 De 18h50 à 22h30 : Régional Dès 22h40 : Oriette, quai A: https://maps.app.goo.gl/vduj3rHhsqC7As4N6","Oriette, quai A: https://maps.app.goo.gl/vduj3rHhsqC7As4N6",,Toutes les 10 min de 7h à minuit puis toutes les 20 min. jusqu’à 4h,Toutes les 10 min de 7h à minuit puis toutes les 20 min. jusqu’à 4h,Toutes les 10 min de 12h à 21h puis toutes les 20 min. Dernier départ selon l’horaire habituel
102,"Neuchâtel, Terreaux Muséum - Temple des Valangines",Terreaux Muséum: https://maps.app.goo.gl/YS2C2WAa3nKhMqky5,Terreaux Muséum: https://maps.app.goo.gl/YS2C2WAa3nKhMqky5,Terreaux Muséum: https://maps.app.goo.gl/YS2C2WAa3nKhMqky5,,Toutes les 10 min de 7h à minuit puis toutes les 20 min. jusqu’à 4h,Toutes les 10 min de 7h à minuit puis toutes les 20 min. jusqu’à 4h,Toutes les 10 min de 12h à 21h puis toutes les 20 min. Dernier départ selon l’horaire habituel
106,"Neuchâtel, Oriette - Gare (Nord) - Vallon de l’Ermitage","Oriette, quai B: https://maps.app.goo.gl/732VuAtkqqhN94U46","Oriette, quai B: https://maps.app.goo.gl/732VuAtkqqhN94U46",-,Horaire habituel,Horaire habituel,Horaire habituel,
106,"Neuchâtel, Oriette - Gare (Nord) - Rocher","Oriette, quai B: https://maps.app.goo.gl/732VuAtkqqhN94U46","Oriette, quai B: https://maps.app.goo.gl/732VuAtkqqhN94U46","Oriette, quai B: https://maps.app.goo.gl/732VuAtkqqhN94U46",,"Toutes les 20 min. de 19h à minuit
",Toutes les 15 min. de 5h16 à 8h et de 22h30 à minuit. Interrompue de 18h30 à 22h30,Toutes les 20 min. de 6h30 à 20h
107,Neuchâtel - Hauterive / Marin,Terreaux Muséum: https://maps.app.goo.gl/YS2C2WAa3nKhMqky5,Terreaux Muséum: https://maps.app.goo.gl/YS2C2WAa3nKhMqky5,Terreaux Muséum: https://maps.app.goo.gl/YS2C2WAa3nKhMqky5,,"Toutes les 10 min. de la 1ère course à minuit puis toutes les 20 min. jusqu’à 4h. Dernier départ pour Marin de Terreaux Muséum 19h13, ensuite jusqu’à Hauterive uniquement.
","Toutes les 10 min. de 7h à minuit puis toutes les 20 min. jusqu’à 4h. Dernier départ pour Marin de Terreaux Muséum à 17h59, ensuite jusqu’à Hauterive uniquement.",Toutes les 5 min. dès 13h10 jusqu’à 21h puis toutes les 20 min. Dernier départ selon l’horaire habituel (→ Hauterive)
109,"Neuchâtel, Terreaux Muséum - Trois-Chênes",Terreaux Muséum: https://maps.app.goo.gl/YS2C2WAa3nKhMqky5,Terreaux Muséum: https://maps.app.goo.gl/YS2C2WAa3nKhMqky5,Terreaux Muséum: https://maps.app.goo.gl/YS2C2WAa3nKhMqky5,,"Toutes les 10 min de la 1ère course à minuit puis toutes les 20 min. jusqu’à 4h
",Toutes les 10 min de 7h à minuit puis toutes les 20 min. jusqu’à 4h,Toutes les 20 min. de 9h03 à 12h puis toutes les 10 min de12h à 21h puis toutes les 20 min. Dernier départ selon l’horaire habituel
110,Neuchâte-Université - Gare (Fun’ambule),Université (FUNI): https://maps.app.goo.gl/iSyQSBmFr9Yrf2228,Université (FUNI): https://maps.app.goo.gl/iSyQSBmFr9Yrf2228,Université (FUNI): https://maps.app.goo.gl/iSyQSBmFr9Yrf2228,,A la demande jusqu’à 1h,A la demande jusqu’à 1h,Horaire habituel
111,"Neuchâtel, La Coudre - Chaumont",La Coudre (FUNI): https://maps.app.goo.gl/2rDo7VPD5BBrjjPh9,La Coudre (FUNI): https://maps.app.goo.gl/2rDo7VPD5BBrjjPh9,La Coudre (FUNI): https://maps.app.goo.gl/2rDo7VPD5BBrjjPh9,Les courses habituellement sur réservation se font d’office,Les courses habituellement sur réservation se font d’office,Les courses habituellement sur réservation se font d’office,Les courses habituellement sur réservation se font d’office
112,"Neuchâtel, Ecluse - Plan",Ecluse (FUNI): https://maps.app.goo.gl/91J5o59QoE8yzDft8,Ecluse (FUNI): https://maps.app.goo.gl/91J5o59QoE8yzDft8,Ecluse (FUNI): https://maps.app.goo.gl/91J5o59QoE8yzDft8,,A la demande de 16h à 4h,A la demande jusqu’à 4h,Horaire habituel
120,Neuchâtel - Chambrelien / Les Gratte de bise,Gare (Nord): https://maps.app.goo.gl/JfoGuN75pJ5vF4BV9,Gare (Nord): https://maps.app.goo.gl/JfoGuN75pJ5vF4BV9,Gare (Nord): https://maps.app.goo.gl/JfoGuN75pJ5vF4BV9,Horaire habituel,Horaire habituel,Horaire habituel,Horaire habituel
120,Colombier - Les Grattes de bise - Montmollin - Corcelles,"Colombier, Bas-des-Allées: https://maps.app.goo.gl/h5FPdY4jmR9d4ySSA","Colombier, Bas-des-Allées: https://maps.app.goo.gl/h5FPdY4jmR9d4ySSA",-,,"20h13 / 20h43 / 21h13 / 21h43 / 22h13 / 22h33 / 22h56 / 23h31 / 00h31 / 01h31 / 02h31 / 03h31 / 04h23
Attention : Le bus circule uniquement dans le sens Colombier, Bôle, Chambrelien, Rochefort, Les Grattes de bise, Montmollin, Corcelles Pharmacie.","20h13 / 20h43 / 21h13 / 21h43 / 22h13 / 22h43 / 23h13 / 23h43 / 00h13 / 00h43 / 01h13 / 01h43 / 02h13 / 02h33 / 03h33 / 04h23
Attention : Le bus circule uniquement dans le sens Colombier, Bôle, Chambrelien, Rochefort, Les Grattes de bise, Montmollin, Corcelles Pharmacie.",
121,"Neuchâtel, Université - Piscines",Université: https://maps.app.goo.gl/aZ3DqT21WDQonyh3A,Université: https://maps.app.goo.gl/aZ3DqT21WDQonyh3A,-,,"Horaire habituel. Départs supplémentaires à 20h38 et 20h42 de Université
",Horaire habituel jusqu’à 18h50 puis interrompue,
122,"Neuchâtel, Gare (Nord) - Vauseyon",Gare (Nord): https://maps.app.goo.gl/JfoGuN75pJ5vF4BV9,Gare (Nord): https://maps.app.goo.gl/JfoGuN75pJ5vF4BV9,-,Horaire habituel,Horaire habituel,Horaire habituel,Horaire habituel
131,St-Blaise - Enges - Lignières*,"St-Blaise, centre: https://maps.app.goo.gl/xnEW2P9xdnf1tn7G9","St-Blaise, centre: https://maps.app.goo.gl/xnEW2P9xdnf1tn7G9",-,Toutes les heures de 1h30 à 4h30,Toutes les heures de 1h30 à 4h30,Toutes les heures de 1h30 à 4h30,Toutes les heures de 1h30 à 4h30
150,Neuchâtel - Thielle - Cornaux - Cressier - Le Landeron*,Université: https://maps.app.goo.gl/aZ3DqT21WDQonyh3A,Université: https://maps.app.goo.gl/aZ3DqT21WDQonyh3A,-,Toutes les heures de 1h à 4h,Toutes les heures de 1h à 4h,Toutes les heures de 1h à 4h,Toutes les heures de 1h à 4h
215,Neuchâtel - Boudry (Littorail),Place Pury Littorail: https://maps.app.goo.gl/y2SgtFxyNNSBrccH6,"Jusqu’à 19h26 : Place Pury  Littorail: https://maps.app.goo.gl/y2SgtFxyNNSBrccH6 De 19h40 à 22h30 : Evole: https://maps.app.goo.gl/HqG1oabd6u6o6b58A
 Dès 22h40 : Place Pury Littorail: https://maps.app.goo.gl/y2SgtFxyNNSBrccH6",Place Pury Littorail: https://maps.app.goo.gl/y2SgtFxyNNSBrccH6,,"Toutes les 10 min. de 16h à 2h20 puis toutes les 20 min. jusqu’à 4h
",Toutes les 10 min. de 13h à 2h puis toutes les 20 min. jusqu’à 4h,"Toutes les 10 min. de 12h à 20h20 puis toutes les 20 min. jusqu’à 0h20
 Aux heures de plus forte affluence, des bus supplémentaires circulent en renfort sans horaires. Départs Oriette, quai C."
221,Neuchâtel - Fleurier,Neuchâtel: https://maps.app.goo.gl/YPkHWFgJxkpRCzrHA,Neuchâtel: https://maps.app.goo.gl/YPkHWFgJxkpRCzrHA,-,,départs à 2h59,départs à 2h59,
223,Neuchâtel - La Chaux-de-Fonds - Le Locle *,Neuchâtel: https://maps.app.goo.gl/YPkHWFgJxkpRCzrHA,Neuchâtel: https://maps.app.goo.gl/YPkHWFgJxkpRCzrHA,-,,départs à 3h11,départs à 3h11,
